Título,Rating,Porciones,Tiempo total,Ingredientes,Descripción,Pasos,Nutrición
Simply Egg Salad,4.6,3,2 hrs 20 mins,"['4  eggs', '2 tablespoons plain nonfat yogurt', '2 tablespoons light mayonnaise', '1 teaspoon Dijon mustard', '¼ teaspoon salt', '¼ teaspoon ground black pepper', '¼ cup diced celery', '1  green onion, chopped']","A classic egg salad sandwich hits the spot on many occasions. You can serve it on your favorite sliced bread or buns, toasted or plain. It's always a sandwich to enjoy. Great for picnics, too!","['Place eggs in saucepan and fill with cold water to cover. Bring to a boil over medium high heat. Cover, remove from heat and let stand for 15 to 20 minutes. Drain and run under cold water until chilled. Refrigerate for at least 2 hours or up to 7 days.', 'Place peeled, hard cooked eggs in a bowl and using a fork or potato masher, mash eggs until finely chopped.', 'Stir in yogurt, mayonnaise, Dijon mustard, salt and pepper until smooth. Add celery and green onion (if using) and stir to combine.', 'Spread over your favorite bread, stuff into pita halves or scoop some onto your favorite salad greens.']","{'Calories': '123', 'Fat': '7g', 'Carbs': '5g', 'Protein': '9g'}"
Bacon and Egg Muffins,4.6,12,55 mins,"['cooking spray', '12 slices bacon', '10 large eggs', '¼ cup milk', '1 teaspoon salt', '1 teaspoon ground black pepper', '¼ cup sliced green onions', '¼ cup diced jalapeno peppers', '¼ cup diced roasted red peppers', '½ cup shredded Cheddar cheese']",Delicious egg cups with bacon are a great brunch item. Customize these as desired with other omelet fillings.,"['Preheat the oven to 375 degrees F (190 degrees C). Grease a 12-cup muffin tin with cooking spray.', 'Arrange bacon on a microwave-safe plate. Microwave on high for 75 seconds.', 'Line each muffin cup with one bacon slice going around the edges of the cup.', 'Whisk eggs, milk, salt, and pepper together in a bowl; spoon into muffin cups. Sprinkle 1 tablespoon green onions over four muffin cups, sprinkle 1 tablespoon jalapeño peppers over another four muffin cups, and sprinkle 1 tablespoon roasted red pepper over the remaining four muffin cups.', 'Bake in the preheated oven until only slightly moist on top, about 20 minutes. Sprinkle Cheddar over muffins and continue to bake until eggs are cooked through and cheese is melted, about 5 minutes more.']","{'Calories': '134', 'Fat': '10g', 'Carbs': '1g', 'Protein': '10g'}"
French Egg and Bacon Sandwich,4.4,2,20 mins,"['2  eggs, beaten', '4 slices bread', '4 slices bacon', '2  eggs', '½ cup maple syrup']",French Toast with egg and bacon in the center with maple syrup on top. Sprinkle with powdered sugar if desired.,"['Dip bread slices in beaten eggs. Heat a lightly oiled griddle or frying pan over medium high heat. Cook until browned on both sides. Set aside but keep warm.', 'Place bacon in a large, deep skillet. Cook over medium high heat until evenly brown. Drain and set aside. Reserve 1 tablespoon of bacon grease in pan and fry remaining two eggs.', 'Place one piece of French toast on each of two plates. Place the fried eggs on top of the bread, top the eggs with strips of bacon. Cover with the remaining pieces of French toast. Following that by pouring on the syrup.']","{'Calories': '738', 'Fat': '37g', 'Carbs': '79g', 'Protein': '23g'}"
Citrus Egg Yolk Cookies,4.8,60,25 mins,"['1 ½ cups white sugar', '1 cup butter, softened', '6  egg yolks', '1 teaspoon vanilla extract', '½ teaspoon lemon extract', '½ teaspoon orange extract', '2 ½ cups all-purpose flour', '1 teaspoon baking soda', '1 teaspoon cream of tartar']",Great recipe when you have made meringues and have leftover egg yolks.,"['Preheat oven to 350 degrees F (175 degrees C). Grease or line baking sheets with parchment paper.', 'Beat sugar and butter together in a bowl with an electric mixer until light and fluffy. Beat egg yolks, vanilla extract, lemon extract, and orange extract together in another bowl. Add egg yolk mixture to butter mixture; beat well.', 'Sift flour, baking soda, and cream of tartar together in a bowl. Stir flour mixture into butter mixture until dough is well-blended. Roll dough into walnut-size balls and place on prepared baking sheets. Press dough balls to slightly flatten.', 'Bake in the preheated oven until golden around the edges and set, 8 to 10 minutes.']","{'Calories': '71', 'Fat': '4g', 'Carbs': '9g', 'Protein': '1g'}"
Tom's Scrambled Egg Sandwich,4.4,1,15 mins,"['2  eggs, beaten', '1 tablespoon milk', '1 pinch salt', '2 tablespoons mayonnaise', '2 slices bread, toasted', '1 teaspoon prepared yellow mustard']","My dad came up with this recipe years ago. Over the years, everyone I have shared this with always reacts the same way. First, they tell me 'that sounds awful!' After they eat it their story changes to 'that was amazing!'
I know the idea of mayo and mustard on a scrambled egg disk sounds odd, but trust me; you'll love it.
I know the cooking method for the eggs may be sacrilege for some folks; I just ask that you try it before changing it up.","['Beat eggs, milk, and salt together in a bowl.', 'Heat a small nonstick skillet over medium heat. Cook eggs in hot skillet without stirring until set on the bottom, about 1 1/2 minutes. Flip eggs and cook without stirring until set on the other side, about 1 minute more. Remove from heat.', 'Spread 1 tablespoon of mayonnaise on each piece of toast. Spread mustard over mayonnaise onto each piece of toast. Place eggs on one piece of toast and top with remaining toast.']","{'Calories': '485', 'Fat': '34g', 'Carbs': '28g', 'Protein': '17g'}"
Low-Carb Bacon Spinach Egg Cups,4.8,6,1 hr,"['cooking spray', '4 slices thick-cut bacon, diced', '½ (12 ounce) package frozen chopped spinach, thawed and drained', '4  mushrooms, chopped', '¼  green bell pepper, chopped', '2 slices onion, chopped', '1 pinch salt and ground black pepper to taste', '6  eggs', '1 tablespoon heavy whipping cream', '1 ¼ cups shredded Colby-Jack cheese, divided', '½ teaspoon salt', '¼ teaspoon ground black pepper', '1 pinch onion powder', '1 pinch garlic powder']","Low-carb egg, and cheese veggie muffins perfect for on the go. You can make them ahead and reheat in the microwave a few seconds. A great change from the usual low-carb bacon and eggs!","['Preheat oven to 350 degrees F (175 degrees C). Spray 12 muffin cups with cooking spray.', 'Cook and stir bacon in a skillet over medium-high heat until crisp, about 10 minutes. Transfer bacon to a bowl, reserving bacon grease in the skillet.', 'Combine spinach, mushrooms, green bell pepper, onion, salt, and ground black pepper to taste in the skillet with bacon grease; cook and stir until softened, about 5 minutes. Transfer vegetable mixture to a bowl and place in the freezer to cool, about 5 minutes.', 'Whisk eggs and cream together in a bowl; stir in 1 cup Colby-Jack cheese, 1/2 teaspoon salt, 1/4 teaspoon ground black pepper, onion powder, and garlic powder. Add cooled vegetables and bacon to egg mixture and mix gently.', 'Scoop 1/4 cup egg mixture into each muffin cup; top each with remaining Colby-Jack cheese.', 'Bake in the preheated oven until egg cups are set, about 20 minutes.']","{'Calories': '237', 'Fat': '18g', 'Carbs': '4g', 'Protein': '17g'}"
Fast and Fabulous Egg and Cottage Cheese Casserole,4.8,10,1 hr,"['cooking spray', '2 (16 ounce) packages cottage cheese', '10 large eggs, beaten', '1 pound shredded Monterey Jack cheese', '1 (4 ounce) can diced green chiles', '½ cup butter, melted (Optional)', '½ cup all-purpose flour', '½ cup cooked crumbled bacon (Optional)', '1 teaspoon baking powder']","This cottage cheese egg bake is the easiest and best casserole I have tried so far. My sweet mother-in-law shared this recipe with me. I make 3 or 4 at a time and keep them in the freezer to take to gatherings, feed guests, or surprise kids. Green chiles make it pop!","['Preheat the oven to 400 degrees F (200 degrees C). Grease a 10x13-inch baking dish with cooking spray.', 'Mix together cottage cheese, beaten eggs, Monterey Jack cheese, green chiles, melted butter, flour, bacon, and baking powder in a large bowl until well combined; pour into the prepared baking dish.', 'Bake in the preheated oven for 15 minutes. Reduce heat to 350 degrees F (175 degrees C) and continue baking until a toothpick inserted into the center of casserole comes out clean, about 30 minutes more.']","{'Calories': '277', 'Fat': '19g', 'Carbs': '7g', 'Protein': '19g'}"
"Spinach, Sausage, and Egg Casserole",4.8,12,50 mins,"['1 pound breakfast sausage', '11 large eggs', '¾ cup milk', '2 cups shredded sharp Cheddar cheese', '1 (10 ounce) package frozen chopped spinach, thawed and drained', '1 teaspoon dried oregano']",This spinach egg casserole without bread is always a big hit. I created it after my boyfriend described an egg casserole I couldn't find a recipe for. Everyone loves it!,"['Gather all ingredients and preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish.', 'Heat a large skillet over medium-high heat. Cook and stir sausage in the hot skillet until browned and crumbly, 5 to 7 minutes; drain and discard grease.', 'Beat together eggs and milk in a large bowl.', 'Stir in cooked sausage, Cheddar cheese, spinach, and oregano until well combined; pour into the prepared baking dish.', 'Bake in the preheated oven until a knife inserted into the center of casserole comes out clean, 30 to 40 minutes.']","{'Calories': '238', 'Fat': '17g', 'Carbs': '3g', 'Protein': '19g'}"
Super Easy Egg Casserole,4.5,4,35 mins,"['6 large eggs, whisked', '1 cup shredded Cheddar cheese', '6 slices bacon or ham, diced', '2 slices bread, cubed', '⅓  red bell pepper, diced', '2  green onions, chopped', '3 tablespoons milk', '½ teaspoon minced garlic, or to taste (Optional)', 'salt and ground black pepper to taste']","Tasty egg casserole that husband approves! I frequently make this dish for breakfast because it's so easy to make. This recipe can be easily doubled or tripled to feed a crowd, but you may have to bake it longer.","['Gather all ingredients.', 'Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish.', 'Mix eggs, cheese, bacon, bread, red bell pepper, green onion, milk, garlic, salt, and black pepper together in a bowl until well-combined; pour into the prepared baking dish.', 'Bake in the preheated oven until eggs are set, about 20 to 25 minutes.', 'Enjoy!']","{'Calories': '340', 'Fat': '23g', 'Carbs': '9g', 'Protein': '23g'}"
Egg in a Pepper,4.4,1,10 mins,"['1  large egg', '1 (¼-inch thick) ring bell pepper', 'salt and ground black pepper to taste']",This egg in a pepper recipe is paleo and a super easy way to eat your eggs! You can also top it with cheese or even a slice of bread.,"['Heat a nonstick skillet over medium heat. Add bell pepper ring. Crack egg into bell pepper ring; cook until bottom holds together and corners are browned, 2 to 3 minutes. Flip; cook until desired doneness is reached, 2 to 3 minutes more. Season with salt and black pepper.']","{'Calories': '74', 'Fat': '5g', 'Carbs': '1g', 'Protein': '6g'}"
Egg Foo Yung II,4.5,5,30 mins,"['8  eggs, beaten', '1 cup thinly sliced celery', '1 cup finely chopped onion', '1 cup bean sprouts', '½ cup diced fresh mushrooms', '⅓ cup chopped cooked chicken breast', '⅓ cup cooked and crumbled ground beef', '⅓ cup chopped cooked pork', '1 teaspoon salt', '¼ teaspoon ground black pepper', '2 cubes  chicken bouillon', '1 ½ cups hot water', '1 ½ teaspoons white sugar', '2 tablespoons soy sauce', '6 tablespoons cold water', '1 ½ tablespoons cornstarch']","Leftover chicken, beef and pork can all be sauteed with mushrooms, sprouts, onion and of course eggs! The accompanying sauce is simple and flavorful.","['Beat eggs in a large bowl. Add the celery, onion, bean sprouts, mushrooms, chicken, beef, pork, salt and pepper. Mix together.', 'Heat oil in a medium skillet or wok and brown egg mixture 1/2 cup at a time. When all of the mixture is browned, set aside.', 'To Make Sauce: Dissolve the bouillon in the hot water in a small saucepan; add sugar and soy sauce and blend well over medium heat. Add cold water and cornstarch and stir until thick and smooth. Serve with Egg Foo Yung.']","{'Calories': '240', 'Fat': '13g', 'Carbs': '10g', 'Protein': '22g'}"
Southwestern Egg Rolls,4.9,5,4 hrs 40 mins,"['2 tablespoons vegetable oil, divided', '1  skinless, boneless chicken breast half', '2 tablespoons minced green onion', '2 tablespoons minced red bell pepper', '⅓ cup frozen corn kernels', '¼ cup black beans, rinsed and drained', '2 tablespoons frozen chopped spinach, thawed and drained', '2 tablespoons diced jalapeño peppers', '½ tablespoon minced fresh parsley', '½ teaspoon ground cumin', '½ teaspoon chili powder', '⅓ teaspoon salt', '1 pinch ground cayenne pepper', '¾ cup shredded Monterey Jack cheese', '5 (6 inch) flour tortillas', '1 quart oil for deep frying']","These Southwest egg rolls aren't your traditional egg rolls! Small flour tortillas stuffed with an exciting spicy chicken filling with corn, black beans, jalapeños, and cheese are deep-fried until crispy for a great appetizer.","['Rub 1 tablespoon vegetable oil over chicken breast. Cook chicken in a medium saucepan over medium heat until meat is no longer pink and juices run clear, about 5 minutes per side. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Remove from heat and set aside.', 'Heat remaining 1 tablespoon vegetable oil in the saucepan over medium heat. Stir in green onion and bell pepper. Cook and stir until tender, about 5 minutes.', 'Dice chicken and mix into the pan with green onion and bell pepper. Mix in corn, black beans, spinach, jalapeño peppers, parsley, cumin, chili powder, salt, and cayenne pepper. Cook and stir until well blended and tender, 5 minutes. Remove from heat and stir in Monterey Jack cheese so that it melts.', 'Wrap tortillas with a clean, lightly moist cloth. Microwave on high until hot and pliable, about 1 minute.', 'Spoon even amounts of the mixture into each tortilla. Fold ends of tortillas, then roll tightly around the mixture. Secure with toothpicks. Arrange in a medium dish, cover with plastic, and place in the freezer. Freeze for at least 4 hours.', 'Heat oil in a large, deep skillet for deep-frying to 375 degrees F (190 degrees C). Deep-fry frozen, stuffed tortillas until dark golden brown, about 10 minutes each. Drain on paper towels before serving.']","{'Calories': '419', 'Fat': '31g', 'Carbs': '22g', 'Protein': '14g'}"
Egg Roll Bowl,4.5,4,30 mins,"['1 pound bulk pork sausage', '1 (16 ounce) package coleslaw mix', '¼ cup soy sauce', '¼ cup toasted sesame oil', '1 tablespoon grated ginger', '1 clove garlic, minced', '1 tablespoon lemon zest', '1 teaspoon chopped fresh cilantro']","This egg roll bowl makes a fantastic breakfast by itself, or serve it as a side dish with your favorite entrée. Serve with hot mustard.","['Gather all ingredients.', 'Cook and stir sausage in a large skillet over medium heat until browned and crumbly, about 10 minutes. Drain excess grease.', 'Stir coleslaw mix, soy sauce, sesame oil, ginger, and garlic into the skillet. Cook until coleslaw softens, about 8 minutes.', 'Stir in lemon zest and cilantro; cook until the flavors combine, about 2 minutes.']","{'Calories': '509', 'Fat': '41g', 'Carbs': '17g', 'Protein': '18g'}"
Sausage Egg Roll in Bowl,4.8,6,30 mins,"['1 pound ground pork sausage', '6 cups coleslaw mix', '2  carrots, peeled and grated', '¼ cup chopped green onions', '4 cloves garlic, minced', '1 tablespoon low-sodium soy sauce', '1 tablespoon sesame oil', '2 tablespoons shelled sunflower seeds (Optional)', '1 tablespoon grated ginger root']",This sausage egg roll in a bowl has all the egg roll ingredients without the fried wrapper.,"['Heat a large skillet over medium-high heat. Cook and stir pork sausage in the hot skillet until browned and crumbly, 5 to 7 minutes.', 'Add coleslaw mix, carrots, green onions, garlic, soy sauce, and sesame oil. Cook and stir until vegetables are tender, 7 to 10 minutes. Stir in sunflower seeds and ginger.']","{'Calories': '310', 'Fat': '22g', 'Carbs': '14g', 'Protein': '13g'}"
Potato and Egg Casserole,4.2,10,1 hr 10 mins,"['6 medium potatoes', '8 large eggs', '1 teaspoon seasoning salt, or to taste', '1 cup margarine', '1 (16 ounce) container sour cream']","This is a potato and egg casserole that was used for Lenten meals by my in-laws. It is Hungarian in origin and everywhere I take it, I get requests for the recipe.","['Preheat the oven to 350 degrees F (175 degrees C).', 'Bring a large pot of salted water to a boil. Add potatoes and cook until tender but still firm, about 15 minutes. Drain and let cool.', 'While the potatoes are cooking, cover eggs in a saucepan and with cold water. Bring water to a boil, then immediately remove from heat. Cover and let eggs stand in hot water for 10 to 12 minutes. Remove eggs from hot water and place under cold running water to cool.', 'Slice potatoes. Peel and slice eggs.', 'Starting and ending with potatoes, layer potatoes and eggs in a 9x13-inch casserole dish, sprinkling each layer of eggs with seasoning salt.', 'Cook and stir sour cream and margarine in a small saucepan over low heat until melted. Pour over casserole and sprinkle lightly with seasoning salt.', 'Bake in the preheated oven for 30 minutes.']","{'Calories': '414', 'Fat': '32g', 'Carbs': '25g', 'Protein': '9g'}"
Polish Egg Salad,4.4,6,10 mins,"['1 (8 ounce) package cream cheese, softened', '1 tablespoon butter, softened, or more to taste', '4  hard-boiled eggs, chopped', '1 small onion, chopped', 'salt and ground black pepper to taste', '1 tablespoon chopped fresh parsley, or to taste']",This creamy-style egg salad is quite common in Poland. It has a similar consistency as egg salad with mayo but it is made with cream cheese. Lovely in a sandwich with fresh cress.,"['Combine cream cheese and butter in a bowl and mash with a fork. If mixture is too thick, add more softened butter. Mix in eggs and onion. Season with salt and pepper; serve with parsley.']","{'Calories': '204', 'Fat': '19g', 'Carbs': '3g', 'Protein': '7g'}"
"Cheesy Bacon, Sausage, and Egg Hash Brown Skillet",4.6,6,40 mins,"['6 slices bacon, cut into 1-inch pieces', '1 link smoked pineapple-bacon chicken sausage, cut into slices', '1 tablespoon canola oil', '1 teaspoon butter', '2 ½ cups frozen hash brown potatoes, thawed', '½  onion, chopped', '¾ teaspoon garlic powder, divided', '½ teaspoon onion powder', '¼ teaspoon salt, or more to taste', '¼ teaspoon ground black pepper, or more to taste', '1 cup shredded Cheddar cheese', '6 large eggs', '1 tablespoon milk']","This cheesy hash brown skillet with bacon, sausage, and egg is a scrumptious, easy breakfast. Garnish with 2 thinly sliced green onions, if desired.","['Preheat the oven to 350 degrees F (175 degrees C).', 'Place bacon in a 10-inch skillet and cook over medium heat, stirring occasionally, until crisp, about 10 minutes. Use a slotted spoon to remove bacon to a paper towel-lined small bowl. Discard 1/2 of the bacon fat using a spoon.', 'Cook sausage in remaining bacon fat in the hot skillet until browned on both sides, about 5 minutes. Remove to the bowl with bacon.', 'Heat canola oil and butter in the same skillet over medium heat. Add hash browns and onion. Stir in 1/2 teaspoon garlic powder, onion powder, salt, and black pepper. Spread hash brown mixture evenly in the skillet; cook, undisturbed, until browned, about 5 minutes. Turn hash browns over and sprinkle with Cheddar cheese.', 'Whisk together eggs, milk, and remaining 1/4 teaspoon garlic powder in a medium bowl; season with salt and pepper. Pour egg mixture over cheese-covered hash browns in the skillet. Sprinkle the top with bacon and sausage pieces.', 'Bake in the preheated oven until the top is puffed, cheese is melted, and a knife inserted into the center comes out clean, 10 to 15 minutes.']","{'Calories': '312', 'Fat': '24g', 'Carbs': '15g', 'Protein': '18g'}"
No Egg Chocolate Mug Cake,3.8,1,7 mins,"['4 tablespoons all-purpose flour', '4 tablespoons white sugar', '3 tablespoons milk', '2 tablespoons unsweetened cocoa powder', '½ tablespoon olive oil', '1 pinch baking powder', '1 tablespoon semisweet chocolate chips', '1 tablespoon sliced almonds']",This easy chocolate eggless mug cake is made with flaked almonds and no egg. It is ready in a few minutes and perfect if you're dying for something sweet. Serve dusted with confectioners' sugar and topped with ice cream or whipped cream.,"['Gather all ingredients.', 'Mix flour, sugar, milk, cocoa powder, olive oil, and baking powder in a large mug until well combined. Stir in chocolate chips and almonds.', 'Place mug in the microwave and cook until cake has risen by 50 percent, 30 seconds to 2 minutes.']","{'Calories': '586', 'Fat': '21g', 'Carbs': '101g', 'Protein': '9g'}"
Keto Beef Egg Roll Slaw,4.6,6,30 mins,"['2 tablespoons sesame oil', '½ cup diced onion', '5  green onions, chopped, white and green parts separated', '3 cloves garlic, minced', '1 ½ pounds ground beef', '1 tablespoon chili-garlic sauce (such as sriracha)', '½ teaspoon ground ginger', 'sea salt to taste', 'ground black pepper to taste', '1 (14 ounce) package coleslaw mix', '3 tablespoons soy sauce', '1 tablespoon apple cider vinegar']",This keto slaw uses beef but you can substitute pork instead.,"['Heat oil in a large skillet over medium-high heat. Add diced onion, white parts of the green onions, and garlic. Saute until onions are translucent and garlic is fragrant, about 5 minutes. Add ground beef, sriracha, ginger, salt, and black pepper. Saute until beef is browned and crumbly, about 5 minutes.', 'Stir coleslaw mix, soy sauce, and cider vinegar into the beef mixture. Saute until coleslaw is tender, about 4 minutes more. Top with the rest of the green onions.']","{'Calories': '350', 'Fat': '24g', 'Carbs': '12g', 'Protein': '21g'}"
Avocado Toast with Egg,4.9,2,10 mins,"['1 teaspoon butter', '2  eggs', '2 slices multigrain bread', '1  ripe avocado, pitted, peeled', '1 teaspoon lemon juice, or to taste', '1 pinch cayenne pepper', 'sea salt to taste', 'ground black pepper to taste']","I love avocado toast, and if you add an egg to it you have a full meal. Sometimes I use balsamic vinegar to flavor the avocado instead of the lemon juice. You can make the egg any way you like, but I like it best fried or poached.","['Melt butter in a skillet over medium-low heat. Crack eggs into the skillet side by side and cook until eggs are white on the bottom layer and firm enough to flip, 2 to 3 minutes. Flip eggs, trying not to crack the yolk, and cook until egg reaches desired doneness, 2 to 5 minutes more.', 'Meanwhile, toast bread slices to desired doneness, 3 to 5 minutes.', 'Mash avocado in a bowl; stir in lemon juice, cayenne pepper, and sea salt. Spread avocado mixture onto toast. Top with fried egg and season with sea salt and pepper.']","{'Calories': '321', 'Fat': '23g', 'Carbs': '21g', 'Protein': '12g'}"
Egg White Breakfast Bites,4.7,12,35 mins,"['cooking spray', '1 (16 ounce) carton liquid egg whites', '½ cup low-fat cottage cheese', '¼ teaspoon garlic powder', '¼ teaspoon salt', '⅛ teaspoon ground black pepper', '1 cup packed fresh spinach, finely chopped', '⅓ cup roasted red peppers, drained and chopped', '1 tablespoon fresh basil, minced', '¼ cup crumbled feta cheese']","These low-calorie, low-fat egg white bites make a quick weekday breakfast and they're equally as convenient for midday snacks. In order not to waste egg yolks and to save time, I like to use a carton of liquid egg whites. Egg whites tend to be rubbery, so adding in the cottage cheese helps make them creamier. You can store extras in the freezer and reheat as needed.","['Preheat the oven to 350 degrees F (175 degrees C). Spray a 12-cup muffin pan generously with cooking spray.', 'Combine egg whites, cottage cheese, garlic powder, salt, and pepper in a blender; blend until smooth, about 15 seconds.', 'Combine spinach, roasted red peppers, and basil in a bowl. Pour in egg mixture and stir to combine.', 'Ladle the mixture evenly into the muffin cups, filling each about 3/4 full.', 'Top each muffin with 1 teaspoon feta cheese.', 'Bake in the preheated oven until egg white bites are set, 18 to 20 minutes.']","{'Calories': '57', 'Fat': '3g', 'Carbs': '1g', 'Protein': '7g'}"
Easy Breakfast Egg Muffins,4.8,12,45 mins,"['cooking spray', '1  green bell pepper, chopped', '1  red bell pepper, chopped', '1 bunch green onions, chopped', '8 large eggs', '2 ¾ ounces fully-cooked bacon pieces (such as Oscar Mayer®)', '¼ cup whole milk', '1 pinch garlic powder, or to taste', '1 pinch onion powder, or to taste', 'salt and ground black pepper to taste', '½ (8 ounce) package shredded mild Cheddar cheese']",These breakfast egg muffins are inspired by your favorite morning casserole or omelet! Great for an on-the-go breakfast and very customizable to your tastes. You can substitute any vegetables or meat that you like. I love to make a dozen of these and have them in my fridge to grab in the morning on my way to work.,"['Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Grease a 12-cup muffin tin with cooking spray.', 'Place bell peppers and green onions into a large bowl.', 'Add eggs, bacon, milk, garlic powder, onion powder, salt, and pepper.', 'Sprinkle Cheddar cheese into the bowl and whisk until incorporated.', 'Pour mixture equally into the prepared muffin cups.', 'Bake in the preheated oven until a toothpick inserted into the center of a muffin comes out clean, about 30 minutes. Let cool slightly before serving.']","{'Calories': '135', 'Fat': '9g', 'Carbs': '3g', 'Protein': '10g'}"
Southern-Style Egg Salad,4.7,10,1 hr,"['6 large eggs', '⅓ cup mayonnaise', '2 tablespoons sweet India pickle relish', '2 teaspoons yellow mustard', '1 teaspoon white sugar', '1 teaspoon lemon juice', '¼ teaspoon salt', '¼ teaspoon ground black pepper', '3 dashes hot sauce (such as Tabasco®) (Optional)']","Southern egg salad, primarily used for sandwiches. Serve on fresh bread of your choice. My wife likes to make double-decker sandwiches (utilizing whole wheat bread for the center slice) with pimento cheese on the other half. Trim the edges and cut into 2 or 3 pieces. Great for tailgating.","['Cover eggs with water in a saucepan, bring to a low boil, let boil slowly for 5 minutes. Remove from heat and let stand, covered, for 5 minutes.', 'Transfer eggs to ice water to chill for 5 minutes; peel. Grate eggs into a medium mixing bowl and add mayonnaise, relish, mustard, sugar, lemon juice, salt, pepper, and hot sauce. Mix well.', 'Chill in the refrigerator for at least 30 minutes.']","{'Calories': '102', 'Fat': '9g', 'Carbs': '2g', 'Protein': '4g'}"
Irish Egg Rolls,4.7,8,50 mins,"['1 ½ quarts oil for deep frying', '4 ounces chopped corned beef', '1 cup shredded steamed cabbage', '1 cup diced cooked potatoes', '1 cup shredded carrot', '½ cup thinly sliced onion', 'salt and pepper, to taste', '8 (7-inch square) egg roll wrappers']","These Irish spring rolls with corned beef are so tasty, so filling, and so good. It is a great way to get rid of those corned beef and cabbage dinner leftovers!","['Heat oil in a deep-fryer to 375 degrees F (190 degrees C).', 'Mix shredded corned beef, cabbage, potatoes, carrot, and onion in a medium bowl. Season with salt and pepper to taste. Lay egg roll wrappers out on a clean dry surface a few at a time. Place about 1/2 cup of the mixture into the center of each wrap. Roll up into logs according to the directions on the package. Wet the edge with water to seal.', 'Fry rolls a few at a time, turning if necessary, until golden, about 5 minutes. Remove from hot oil to drain on paper towels.']","{'Calories': '286', 'Fat': '18g', 'Carbs': '25g', 'Protein': '7g'}"
Quiche (Southern Egg Pie),4.6,6,1 hr 30 mins,"['1 tablespoon butter', '½  onion, chopped', '1 (12 ounce) package spicy ground pork sausage', '4  eggs', '½ cup Ranch-style salad dressing', '½ cup milk', '1 (8 ounce) package Cheddar cheese, shredded', '1 dash hot pepper sauce (Optional)', 'salt and pepper to taste', '1 pinch white sugar', '1 (9 inch) unbaked deep dish pie crust']",This is a pseudo Southern take on a quiche.,"['Preheat oven to 425 degrees F (220 degrees C).', 'Heat butter in a large skillet over medium heat. Saute onion until soft. Add sausage, and cook until evenly brown. Drain, crumble, and set aside.', 'In a medium bowl, whisk together eggs, Ranch dressing and milk. Stir in shredded cheese. Season with hot sauce, salt, pepper and sugar.', 'Spread sausage mixture in the bottom of crust. Cover with egg mixture, and shake lightly to remove air, and to level contents.', 'Bake in preheated oven for 15 to 20 minutes. Reduce heat to 350 degrees F (175 degrees C), and bake 45 to 50 minutes, or until filling is puffed and golden brown. Remove from oven, prick top with a knife, and let cool 10 minutes before serving.']","{'Calories': '718', 'Fat': '61g', 'Carbs': '19g', 'Protein': '23g'}"
Restaurant Style Egg Drop Soup,4.5,4,20 mins,"['4 cups chicken broth, divided', '2 tablespoons chopped fresh chives', '¼ teaspoon salt', '⅛ teaspoon ground ginger', '1 ½ tablespoons cornstarch', '2  eggs', '1  egg yolk']","This chicken egg drop soup is born from a love of the soup, many trips to my favorite Chinese restaurant, and many questions. This variation is the result. Simplicity is the key. The soup can be reheated or frozen and reheated.","['Gather all ingredients.', 'Reserve 3/4 cup of chicken broth, and pour the rest into a large saucepan. Stir in chives, salt, and ginger; bring to a rolling boil. Stir reserved 3/4 cup of broth and cornstarch until smooth. Set aside.', 'Whisk eggs and egg yolk together in a small bowl with a fork. Using a fork, drizzle eggs, a little at a time, into boiling broth. Eggs will cook immediately.', 'Stir in cornstarch mixture gradually until soup reaches desired consistency.']","{'Calories': '76', 'Fat': '4g', 'Carbs': '4g', 'Protein': '5g'}"
Egg Foo Yung with Mushroom Sauce,4.5,2,30 mins,"['1 large green onion', '4  eggs, beaten', '¾ cup bean sprouts', '3 tablespoons soy sauce, divided', '2 tablespoons peanut oil, divided', '2 cups sliced fresh mushrooms', '4 teaspoons cornstarch', '1 cup chicken or beef broth']","These egg and bean sprout pancakes are cooked in peanut oil, and bathed in mushroom sauce.","['Thinly slice green onion, and reserve 1 tablespoon of the top for garnish. Stir the remaining onion into the egg along with the bean sprouts and 1 tablespoon of soy sauce.', 'Heat 1 tablespoon of peanut oil in a large nonstick skillet over medium-high heat until hot. For each pancake, drop 1/4 cup of egg mixture into the hot oil. Cook until the bottoms are set, 1 to 2 minutes, then turn over and continue cooking for another 1 to 2 minutes until cooked through. Transfer to a warm serving plate while you make the remaining pancakes.', 'Heat the remaining 1 tablespoon of peanut oil in the skillet and cook the mushrooms with the remaining 2 tablespoons of soy sauce until the mushrooms are soft, about 3 minutes. Dissolve the cornstarch in the broth, stir into the mushrooms, and cook until thickened. To serve, pour the sauce over the egg foo yung pancakes, and sprinkle with the reserved onion.']","{'Calories': '328', 'Fat': '24g', 'Carbs': '13g', 'Protein': '18g'}"
